time,data,data2,data3,data4
493,32020.0,234.0,345.0,456.0
494,32060.0,234.0,345.0,456.0
495,31951.0,234.0,345.0,456.0
496,32203.0,234.0,345.0,456.0
497,32237.0,234.0,345.0,456.0
498,32183.0,234.0,345.0,456.0
499,32223.0,234.0,345.0,456.0
500,32232.0,234.0,345.0,456.0
501,32144.0,234.0,345.0,456.0
502,31518.0,234.0,345.0,456.0
503,31671.0,234.0,345.0,456.0
504,31542.0,234.0,345.0,456.0
505,31912.0,234.0,345.0,456.0
506,32311.0,234.0,345.0,456.0
507,32454.0,234.0,345.0,456.0
508,32592.0,234.0,345.0,456.0
509,32336.0,234.0,345.0,456.0
510,32775.0,234.0,345.0,456.0
511,32996.0,234.0,345.0,456.0
512,32863.0,234.0,345.0,456.0
513,32651.0,234.0,345.0,456.0
514,32484.0,234.0,345.0,456.0
515,32543.0,234.0,345.0,456.0
516,32617.0,234.0,345.0,456.0
517,32873.0,234.0,345.0,456.0
518,32794.0,234.0,345.0,456.0
519,32819.0,234.0,345.0,456.0
520,32844.0,234.0,345.0,456.0
521,32508.0,234.0,345.0,456.0
522,32947.0,234.0,345.0,456.0
523,33001.0,234.0,345.0,456.0
524,33258.0,234.0,345.0,456.0
525,33391.0,234.0,345.0,456.0
526,33617.0,234.0,345.0,456.0
527,33198.0,234.0,345.0,456.0
528,33223.0,234.0,345.0,456.0
529,33233.0,234.0,345.0,456.0
530,32592.0,234.0,345.0,456.0
531,32247.0,234.0,345.0,456.0
532,31789.0,234.0,345.0,456.0
533,30985.0,234.0,345.0,456.0
534,31247.0,234.0,345.0,456.0
535,30419.0,234.0,345.0,456.0
536,30759.0,234.0,345.0,456.0
537,30995.0,234.0,345.0,456.0
538,31399.0,234.0,345.0,456.0
539,31562.0,234.0,345.0,456.0
540,31197.0,234.0,345.0,456.0
541,31360.0,234.0,345.0,456.0
542,31153.0,234.0,345.0,456.0
543,31641.0,234.0,345.0,456.0
544,31695.0,234.0,345.0,456.0
545,31597.0,234.0,345.0,456.0
546,31237.0,234.0,345.0,456.0
547,30798.0,234.0,345.0,456.0
548,30394.0,234.0,345.0,456.0
549,31005.0,234.0,345.0,456.0
550,31045.0,234.0,345.0,456.0
551,31360.0,234.0,345.0,456.0
552,31720.0,234.0,345.0,456.0
553,32001.0,234.0,345.0,456.0
554,32149.0,234.0,345.0,456.0
555,32124.0,234.0,345.0,456.0
556,32237.0,234.0,345.0,456.0
557,32178.0,234.0,345.0,456.0
558,31947.0,234.0,345.0,456.0
559,32099.0,234.0,345.0,456.0
560,32104.0,234.0,345.0,456.0
561,32227.0,234.0,345.0,456.0
562,31153.0,234.0,345.0,456.0
563,31424.0,234.0,345.0,456.0
564,31557.0,234.0,345.0,456.0
565,31168.0,234.0,345.0,456.0
566,31424.0,234.0,345.0,456.0
567,31503.0,234.0,345.0,456.0
568,31429.0,234.0,345.0,456.0
569,31365.0,234.0,345.0,456.0
570,30882.0,234.0,345.0,456.0
571,31311.0,234.0,345.0,456.0
572,31158.0,234.0,345.0,456.0
573,31375.0,234.0,345.0,456.0
574,31404.0,234.0,345.0,456.0
575,31306.0,234.0,345.0,456.0
576,31301.0,234.0,345.0,456.0
577,31508.0,234.0,345.0,456.0
578,31533.0,234.0,345.0,456.0
579,31488.0,234.0,345.0,456.0
580,31838.0,234.0,345.0,456.0
581,32016.0,234.0,345.0,456.0
582,31804.0,234.0,345.0,456.0
583,31784.0,234.0,345.0,456.0
584,31606.0,234.0,345.0,456.0
585,31404.0,234.0,345.0,456.0
586,31799.0,234.0,345.0,456.0
587,32090.0,234.0,345.0,456.0
588,32300.0,234.0,345.0,456.0
589,32070.0,234.0,345.0,456.0
590,31960.0,234.0,345.0,456.0
591,31705.0,234.0,345.0,456.0
592,31560.0,234.0,345.0,456.0
593,31455.0,234.0,345.0,456.0
594,31670.0,234.0,345.0,456.0
595,31865.0,234.0,345.0,456.0
596,31800.0,234.0,345.0,456.0
597,31510.0,234.0,345.0,456.0
598,31610.0,234.0,345.0,456.0
599,31495.0,234.0,345.0,456.0
600,31595.0,234.0,345.0,456.0
